k,c,success_count,fail_count,avg_min_length,avg_max_force
27977.8930312,1394.50065865,89,911,0.398044557841,11307.293011
22385.2780051,454.18623041,974,26,0.309812307177,5138.26584304
9155.38576503,205.608368608,272,728,0.164885624463,3326.67195264
12362.3486719,403.532747384,667,333,0.263138383855,3763.93354324
22423.1264136,1494.16391864,0,1000,0.397012710548,12065.0061355
23427.5177709,637.882555373,979,21,0.335937445137,5640.73653587
28967.5600622,1381.35607868,105,895,0.396053971698,11532.804208
14863.0449146,181.009452774,207,793,0.212412153953,4456.20942704
13391.5016883,249.458493487,644,356,0.22592880923,3999.53995261
21171.2089739,337.551871731,624,376,0.284925711204,5065.07338105
10734.8686931,643.575736333,28,972,0.302068332966,5101.66141687
14008.6272224,472.31310313,708,292,0.284306670957,4163.87170825
16331.0211978,463.929799004,870,130,0.291608968891,4425.33178279
11994.0876713,145.242335968,167,833,0.172317098064,4060.23840284
20069.5469976,675.689407353,748,252,0.333970020995,5695.563167
8329.62803172,479.340702938,86,914,0.25484135157,3735.81999102
28513.2955354,206.680523808,35,965,0.277233350909,6556.67128969
19529.0654428,683.294679441,673,327,0.333390749309,5749.11146457
7068.71038197,1386.84717623,0,1000,0.37056523312,10681.1008646
18789.6969616,1327.32608102,0,1000,0.386338961485,10596.7087242
15281.3779785,330.767966635,831,169,0.259519362016,4208.59437585
17009.2519664,1188.64319574,1,999,0.373726182472,9665.63322198
14418.4741969,1479.40047425,0,1000,0.387618133362,11844.0210751
14824.7361857,1149.40962434,0,1000,0.368803850692,9198.1217062
19227.036671,1260.829909,3,997,0.383053983352,10115.7576161
5920.54666293,188.91655681,21,979,0.106671376442,2570.62473161
5341.79922818,287.392973383,83,917,0.14740316262,2449.87789099
22292.85994,205.502682663,97,903,0.256680914683,5636.84706722
23747.7685802,848.084776182,601,399,0.358024801671,7154.13330505
19628.7382962,1378.43204834,0,1000,0.388734262467,11111.7983212
23927.0299507,1116.56917862,150,850,0.37757232827,9309.87431213
11027.1208422,628.99077255,48,952,0.30036003874,4988.30418336
11286.0608108,387.063461316,564,436,0.249703864303,3629.5000081
10180.6912036,484.624513736,262,738,0.269622729567,3836.2029329
23924.9782338,1329.50892754,24,976,0.390743011126,10779.8857505
11716.8122062,165.655051699,299,701,0.180729625272,3904.27932473
17454.1297187,131.05863383,15,985,0.209035887329,5178.48847323
25784.2871708,766.694974464,902,98,0.353197166153,6606.75429178
25409.6432825,530.888132501,997,3,0.32683718845,5559.51185937
7210.20559292,1455.16326953,0,1000,0.374322957086,11381.2807968
19748.897499,1208.54497981,10,990,0.380212957943,9778.00333117
15513.3944542,772.064363348,108,892,0.335276011159,6313.59814493
20984.0338725,1198.5355646,13,987,0.380034135281,9798.1909478
27578.7764777,1227.06253579,207,793,0.388259314423,10221.0067284
29511.5680679,964.169206934,709,291,0.373806333037,8278.40276455
20916.1080699,951.322988861,196,804,0.363728283435,7814.49257202
7275.05221519,876.741852087,0,1000,0.320708112765,6836.77072704
18686.1577185,1116.9558427,5,995,0.372081534119,9049.1731821
27761.7819723,731.274618376,997,3,0.352746565884,6427.88173961
18090.0567958,517.143235252,913,87,0.306916399713,4754.74798505
24911.794533,1076.69861568,255,745,0.378215236543,8877.24834796
26052.2853823,743.085524441,940,60,0.350903667664,6448.81163704
6655.89947287,1176.48484052,0,1000,0.351001121237,9225.74886983
20520.1420536,164.205764197,28,972,0.238294254947,5512.97323884
10228.2698297,586.378768573,64,936,0.289739993825,4620.64504193
13539.0803069,911.509909222,2,998,0.347707558635,7231.63302288
16502.9790795,852.168786644,83,917,0.347323512566,6896.60165293
15007.512256,918.672551676,10,990,0.349091836635,7448.38680363
9501.68179605,1076.73460143,0,1000,0.350388970613,8545.37293786
15291.5303336,1075.10205015,1,999,0.364606097766,8579.54891429
17880.9014014,1324.04465225,0,1000,0.384412633873,10625.2869101
20048.3850167,1462.3544975,0,1000,0.393556938896,11765.7389053
25544.7660063,413.388697773,755,245,0.311198944457,5529.57409343
13690.4803831,583.115681642,358,642,0.302164388635,4776.49582933
18717.8827373,144.526560057,19,981,0.222633308019,5309.29637445
13899.7871351,848.192901762,8,992,0.339311613033,6856.77619491
8218.70995897,1351.90416856,0,1000,0.370209214472,10590.2988674
13039.569265,562.139319746,346,654,0.296295732254,4583.02127403
17028.6348206,229.206820544,323,677,0.241336304852,4673.54668445
17791.4253103,1062.89861013,8,992,0.367085628781,8616.90058345
14432.1492123,319.768749742,779,221,0.251684653716,4094.41658268
26707.5275448,103.633036484,0,1000,0.245066318163,6867.84440088
19931.952038,218.323805493,203,797,0.251576710687,5193.13152089
18414.7661634,1480.75979828,0,1000,0.393876118867,11690.3382812
10902.9132913,1393.65846531,0,1000,0.378592825941,10953.5087293
18281.643841,1163.93757767,3,997,0.374686568224,9460.06130678
6558.53420582,1108.72247863,0,1000,0.344424451277,8597.59970716
8327.92318806,306.834734523,364,636,0.201340300261,3038.04985804
26111.0168538,1062.03169911,312,688,0.376252339991,8968.84734925
5761.80395864,1149.46272269,0,1000,0.346058423667,8923.24252911
13853.6667023,1314.10097441,0,1000,0.378337616395,10449.3945641
7621.72929502,656.029369017,0,1000,0.286908702974,5141.39729807
9557.09711752,1132.36729185,0,1000,0.357077672877,8862.6109786
26017.7497026,889.551127429,671,329,0.364725824943,7535.10496251
18383.3892488,224.886063695,251,749,0.244849625757,4947.68715908
13573.1715714,426.502974743,706,294,0.271373553782,4030.5802546
13877.6074913,763.557918936,46,954,0.32990600012,6176.16034777
16989.5526295,1008.35197407,11,989,0.360842663019,8204.36682077
23420.5619009,917.879274004,409,591,0.362978919458,7728.44391128
19663.3858312,880.83916931,213,787,0.354724710497,7293.229414
14469.3156491,890.241961927,16,984,0.345680522726,7160.45579628
27491.184921,572.42556503,999,1,0.336332303007,5795.02565816
11108.828975,950.577315573,0,1000,0.34373742254,7542.6944822
13258.711954,797.546775289,15,985,0.333098673611,6404.06688267
5188.35917719,1407.16855881,0,1000,0.36640412428,10821.4305832
14133.920476,415.465921756,778,222,0.273044426573,4072.25321543
26270.4380809,782.933724426,897,103,0.355329293414,6735.5360897
25146.6223067,223.042680896,83,917,0.268728862137,6056.54450058
26057.8509193,177.914883299,24,976,0.263506425106,6320.3522232
5456.06213694,172.289664231,3,997,0.0807775771406,2495.97255644
29931.3884879,1075.7460385,560,440,0.381374781463,9126.2605775
19399.9603775,1355.25436568,0,1000,0.387879716142,10943.1383038
5132.50009428,1384.35385287,0,1000,0.364395462286,10661.0779125
17268.7196199,1465.09403254,0,1000,0.391380188395,11663.4957228
25521.5368284,1112.05452998,231,769,0.379225625284,9289.56337813
18375.9182561,1105.84017399,6,994,0.370736449531,9003.1082434
25964.5638957,767.267283192,894,106,0.35365086109,6634.3482388
29199.8517489,387.108583813,468,532,0.312845443056,6076.90134712
9987.67320198,1095.33346702,0,1000,0.35531610631,8568.82965096
18246.0006236,1130.74606101,4,996,0.37231238692,9182.51625386
24194.4875615,1090.12212757,182,818,0.377051185834,9042.72576496
17652.5990524,222.206247087,282,718,0.23972750004,4849.92708172
13016.0547774,1404.82008397,0,1000,0.383677040908,10978.6978599
14230.7620045,931.436336866,6,994,0.349207354562,7502.83246444
18715.0779607,735.975167312,426,574,0.336921972436,6206.83862809
10043.2615098,868.490764473,0,1000,0.330596827361,6879.41215724
7196.70284894,1058.40016097,0,1000,0.341778058478,8285.06222428
5067.77239429,294.354685572,52,948,0.146434460107,2401.87239131
16829.1550234,263.374486441,535,465,0.250580615875,4542.23960334
24857.2361982,948.542630966,467,533,0.36797609404,7953.06714879
26268.1863744,249.378950356,135,865,0.281046808024,6038.03700301
15212.9574048,1144.36433477,0,1000,0.369462205983,9147.3340142
29773.2367991,1406.11329288,110,890,0.399011516828,11558.8921143
14480.7146244,387.002532816,807,193,0.26819328817,4088.83347752
23039.9138465,1397.02918532,5,995,0.392734929061,11388.2242026
24537.8621856,167.332501757,16,984,0.252479732512,6219.88830765
23762.5481095,1259.11723706,33,967,0.386347323601,10361.0759096
25628.3168993,1219.35199045,92,908,0.38594808855,10083.1273195
10892.2936372,360.966974364,558,442,0.241629098005,3513.27201442
27696.6533666,987.261988207,572,428,0.373729626847,8380.20639824
19707.6668793,542.675214005,963,37,0.315812037893,4956.6131922
